Shape_Leng,Shape_Area,ADM2_EN,ADM2_PCODE,,Rur_Pctg
1.147629566,0.05188202,Iganga,UG2039,2017,37.08322038
2.552553833,0.215178928,Isingiro,UG4108,2017,18.16151842
1.285666651,0.058856144,Jinja,UG2040,2017,34.56539399
4.36456197,0.386419981,Kaabong,UG3075,2017,138.0667237
1.185503975,0.050377377,Kabale,UG4109,2017,42.64828739
2.648601634,0.106563119,Kabarole,UG4110,2017,84.2519685
1.337447834,0.072129652,Kaberamaido,UG2041,2017,236.4485981
2.092606694,0.126287447,Kagadi,UG4111,2017,26.40536359
1.786103182,0.135476471,Kakumiro,UG4112,2017,14.79881177
1.289265921,0.059913878,Kalaki,UG2042,2017,174.9188312
3.495566872,0.73537113,Kalangala,UG1006,2017,234.3283582
1.21601175,0.070681206,Kaliro,UG2043,2017,154.4337812
1.263335095,0.068013888,Kalungu,UG1007,2017,102.8632025
0.636963569,0.015865428,Kampala,UG1008,2017,11.81686686
1.799551812,0.123286982,Kamuli,UG2044,2017,12.23823247
2.4618206,0.137525351,Kamwenge,UG4113,2017,24.62562396
2.774999659,0.107679265,Kanungu,UG4114,2017,17.55580779
0.991997175,0.031014732,Kapchorwa,UG2045,2017,497.9824561
2.337563938,0.097690192,Kapelebyong,UG2046,2017,192.4369748
2.338016148,0.207524163,Karenga,UG3076,2017,239.8104265
2.583163004,0.275200125,Kasese,UG4115,2017,34.57389428
1.907793578,0.155880691,Kassanda,UG1009,2017,54.43298969
2.543180431,0.197445747,Katakwi,UG2047,2017,80.22284123
2.389582234,0.144550754,Kayunga,UG1010,2017,29.91475071
1.95775919,0.126431572,Kazo,UG4116,2017,93.31632653
1.555623445,0.094647551,Kibaale,UG4117,2017,166.006006
1.97151955,0.127881676,Kiboga,UG1011,2017,84.6637335
1.026342583,0.03974306,Kibuku,UG2048,2017,93.40757238
2.861696483,0.243019487,Kikuube,UG4118,2017,68.77227081
2.740306107,0.247255476,Kiruhura,UG4119,2017,75.92814371
2.647974331,0.29540766,Kiryandongo,UG4120,2017,54.81635482
1.388223557,0.058991573,Kisoro,UG4121,2017,52.48488919
