name,code,rate,year
Masindi,UG409,30.79541937,2018
Mayuge,UG214,26.83201804,2018
Mbale,UG209,36.97189483,2018
Mbarara,UG410,24.81985588,2018
Mitooma,UG423,42.9769392,2018
Mityana,UG115,48.90344631,2018
Moroto,UG308,28.92226148,2018
Moyo,UG309,37.57402101,2018
Mpigi,UG106,28.47754655,2018
Mubende,UG107,19.88443913,2018
Mukono,UG108,26.68974861,2018
Nabilatuk,UG334,18.29059829,2018
Nakapiripirit,UG311,16.59309021,2018
Nakaseke,UG116,84.6362404,2018
Nakasongola,UG109,11.14552606,2018
Namayingo,UG230,56.62020906,2018
Namisindwa,UG234,91.33786848,2018
Namutumba,UG224,42.70289098,2018
Napak,UG327,30.71381794,2018
Nebbi,UG310,12.56928839,2018
Ngora,UG231,90.9726637,2018
Ntoroko,UG424,53.6351166,2018
Ntungamo,UG411,27.1540971,2018
Nwoya,UG328,48.79053011,2018
Obongi,UG337,71.12526539,2018
Omoro,UG331,77.65667575,2018
Otuke,UG329,11.09209454,2018
Oyam,UG321,59.8880597,2018
Pader,UG312,11.95070792,2018
Pakwach,UG332,49.56236324,2018
Pallisa,UG210,37.06099815,2018
Rakai,UG110,28.94823607,2018
Rubanda,UG429,12.79569892,2018
Rubirizi,UG425,62.77897768,2018
Rukiga,UG431,28.43930636,2018
Rukungiri,UG412,48.7782529,2018
Rwampara,UG435,67.05118962,2018
Serere,UG232,62.21821461,2018
Sheema,UG426,12.54974549,2018
Sironko,UG215,78.34346505,2018
Soroti,UG211,11.69661267,2018
Ssembabule,UG111,13.1207695,2018
Tororo,UG212,75.15811665,2018
Wakiso,UG113,7.703409002,2018
Yumbe,UG313,24.84492875,2018
Zombo,UG330,41.33681852,2018
Abim,UG314,11.9571231,2019
Adjumani,UG301,75.62953478,2019
Agago,UG322,93.0420712,2019
Alebtong,UG323,52.35339506,2019
Amolatar,UG315,67.22891566,2019
Amudat,UG324,14.80680062,2019
Amuria,UG216,70.3908046,2019
Amuru,UG316,62.63008515,2019
Apac,UG302,74.97716895,2019
Arua,UG303,30.7555677,2019
Budaka,UG217,13.03921569,2019
Bududa,UG218,54.38799076,2019
Bugiri,UG201,26.92474048,2019
Bugweri,UG235,63.08186196,2019
Buhweju,UG420,15.6540386,2019
Buikwe,UG117,21.02321582,2019
Bukedea,UG219,35.82329317,2019
Bukomansimbi,UG118,12.75994865,2019
Bukwo,UG220,83.87665198,2019
Bulambuli,UG225,81.64470695,2019
Buliisa,UG416,70.80701754,2019
Bundibugyo,UG401,59.19003115,2019
Bunyangabu,UG430,14.70372313,2019
Bushenyi,UG402,86.63145063,2019
Busia,UG202,18.75669882,2019
Butaleja,UG221,30.18607857,2019
Butambala,UG119,84.06747891,2019
Butebo,UG233,24.82441472,2019
Buvuma,UG120,13.19043693,2019
Buyende,UG226,36.93081761,2019
Dokolo,UG317,10.81982841,2019
Gomba,UG121,77.01283547,2019
Gulu,UG304,98.51547694,2019
Hoima,UG403,11.95135434,2019
Ibanda,UG417,51.68745415,2019
Iganga,UG203,26.14362382,2019
Isingiro,UG418,30.29672046,2019
Jinja,UG204,33.11010439,2019
Kaabong,UG318,90.53061224,2019
Kabale,UG404,11.67752443,2019
Kabarole,UG405,99.09392933,2019
Kaberamaido,UG213,86.69796557,2019
Kagadi,UG427,14.16546417,2019
Kakumiro,UG428,52.87514318,2019
Kalaki,UG237,10.81020255,2019
Kalangala,UG101,65.12345679,2019
Kaliro,UG222,74.87455197,2019
Kalungu,UG122,10.08835759,2019
Kampala,UG102,4.082868912,2019
Kamuli,UG205,14.36160469,2019
Kamwenge,UG413,15.1421508,2019
Kanungu,UG414,21.76190476,2019
Kapchorwa,UG206,15.95020747,2019
Kapelebyong,UG236,15.87710605,2019
Karenga,UG335,39.74550898,2019
Kasese,UG406,21.9172787,2019
Kassanda,UG126,53.0124427,2019
Katakwi,UG207,64.16886544,2019
Kayunga,UG112,49.11449239,2019
Kazo,UG433,14.51996198,2019
Kibaale,UG407,77.24358974,2019
Kiboga,UG103,13.27947337,2019
Kibuku,UG227,91.31154324,2019
Kikuube,UG432,39.96484032,2019
Kiruhura,UG419,91.12723214,2019
Kiryandongo,UG421,55.22436947,2019
Kisoro,UG408,72.18992248,2019
Kitagwenda,UG434,66.41443539,2019
Kitgum,UG305,90.05449591,2019
Koboko,UG319,71.87122736,2019
Kole,UG325,35.03438292,2019
Kotido,UG306,10.6630381,2019
Kumi,UG208,10.86406363,2019
Kwania,UG333,16.00189934,2019
Kween,UG228,17.56326148,2019
Kyankwanzi,UG123,40.62962963,2019
Kyegegwa,UG422,49.40053829,2019
Kyenjojo,UG415,40.31589339,2019
Kyotera,UG125,12.000777,2019
Lamwo,UG326,13.56289529,2019
Lira,UG307,18.63060743,2019
Luuka,UG229,52.15566578,2019
Luwero,UG104,23.98906036,2019
Lwengo,UG124,54.35612635,2019
Lyantonde,UG114,10.97674419,2019
Madi Okollo,UG336,10.62578223,2019
Manafwa,UG223,27.27378867,2019
Maracha,UG320,11.98533007,2019
Masaka,UG105,30.89084828,2019
Masindi,UG409,43.42977697,2019
Mayuge,UG214,37.7688662,2019
Mbale,UG209,16.71940928,2019
Mbarara,UG410,21.91745037,2019
Mitooma,UG423,91.22533749,2019
Mityana,UG115,96.49663677,2019
Moroto,UG308,34.91364421,2019
Moyo,UG309,76.19047619,2019
Mpigi,UG106,37.13877988,2019
Mubende,UG107,34.59643804,2019
Mukono,UG108,22.56883421,2019
Nabilatuk,UG334,20.49008168,2019
Nakapiripirit,UG311,17.6724931,2019
Nakaseke,UG116,10.28082492,2019
Nakasongola,UG109,63.25848065,2019
Namayingo,UG230,88.85555079,2019
Namisindwa,UG234,55.72755418,2019
Namutumba,UG224,16.17795753,2019
Napak,UG327,22.00,2019
Nebbi,UG310,57.42358079,2019
Ngora,UG231,24.69059406,2019
Ntoroko,UG424,19.65100671,2019
Ntungamo,UG411,18.64055733,2019
Nwoya,UG328,16.09243697,2019
Obongi,UG337,30.14553015,2019
Omoro,UG331,74.40758294,2019
Otuke,UG329,20.92115535,2019
Oyam,UG321,52.8665307,2019
Pader,UG312,47.16494845,2019
Pakwach,UG332,64.57564576,2019
Pallisa,UG210,26.15112161,2019
Rakai,UG110,85.15297907,2019
Rubanda,UG429,43.07841239,2019
Rubirizi,UG425,21.68904594,2019
Rukiga,UG431,15.41547278,2019
Rukungiri,UG412,28.69670396,2019
Rwampara,UG435,15.12711864,2019
Serere,UG232,80.54350968,2019
Sheema,UG426,97.06959707,2019
Sironko,UG215,15.14136905,2019
Soroti,UG211,11.18099032,2019
Ssembabule,UG111,15.6518724,2019
Tororo,UG212,34.81316421,2019
Wakiso,UG113,5.568352163,2019
Yumbe,UG313,18.11248808,2019
Zombo,UG330,0.0,2019
