name,year,rate,code
ENGLEWOOD,2004,15.8,69
GREATER GRAND CROSSING,2004,9.7,70
ASHBURN,2004,1.7,71
AUBURN GRESHAM,2004,9.3,72
BEVERLY,2004,2,73
WASHINGTON HEIGHTS,2004,4.8,74
MOUNT GREENWOOD,2004,0,75
MORGAN PARK,2004,3,76
EDGEWATER,2004,2,77
ROGERS PARK,2005,2.4,1
WEST RIDGE,2005,1.8,2
UPTOWN,2005,2.1,3
LINCOLN SQUARE,2005,1.6,4
NORTH CENTER,2005,1.4,5
LAKE VIEW,2005,1,6
LINCOLN PARK,2005,0.4,7
NEAR NORTH SIDE,2005,1.1,8
EDISON PARK,2005,0.9,9
NORWOOD PARK,2005,0.5,10
JEFFERSON PARK,2005,0.2,11
FOREST GLEN,2005,0.3,12
NORTH PARK,2005,1.5,13
ALBANY PARK,2005,2.4,14
PORTAGE PARK,2005,1.5,15
IRVING PARK,2005,2.2,16
DUNNING,2005,0.7,17
MONTCLARE,2005,2.7,18
BELMONT CRAGIN,2005,2.1,19
HERMOSA,2005,2.4,20
AVONDALE,2005,2.9,21
LOGAN SQUARE,2005,2.6,22
HUMBOLDT PARK,2005,6.4,23
WEST TOWN,2005,1.8,24
AUSTIN,2005,6.7,25
WEST GARFIELD PARK,2005,9,26
EAST GARFIELD PARK,2005,6.5,27
NEAR WEST SIDE,2005,1.9,28
NORTH LAWNDALE,2005,5.8,29
SOUTH LAWNDALE,2005,2.7,30
LOWER WEST SIDE,2005,2.3,31
LOOP,2005,2.7,32
NEAR SOUTH SIDE,2005,1.9,33
ARMOUR SQUARE,2005,0.9,34
DOUGLAS,2005,1.9,35
OAKLAND,2005,0.8,36
FULLER PARK,2005,8.9,37
GRAND BOULEVARD,2005,3.7,38
KENWOOD,2005,1.6,39
WASHINGTON PARK,2005,4.4,40
HYDE PARK,2005,1.9,41
WOODLAWN,2005,4.5,42
SOUTH SHORE,2005,4.8,43
CHATHAM,2005,3.2,44
AVALON PARK,2005,3.7,45
SOUTH CHICAGO,2005,4.4,46
BURNSIDE,2005,3.4,47
CALUMET HEIGHTS,2005,2.5,48
ROSELAND,2005,6.6,49
PULLMAN,2005,3.3,50
SOUTH DEERING,2005,2,51
EAST SIDE,2005,2.9,52
WEST PULLMAN,2005,5.5,53
RIVERDALE,2005,0,54
HEGEWISCH,2005,0.9,55
GARFIELD RIDGE,2005,1,56
ARCHER HEIGHTS,2005,1.2,57
OHARE,2005,1.2,58
BRIGHTON PARK,2005,3.1,59
MCKINLEY PARK,2005,0.9,60
BRIDGEPORT,2005,0.9,61
NEW CITY,2005,5.1,62
WEST ELSDON,2005,0.5,63
GAGE PARK,2005,2.7,64
CLEARING,2005,0.4,65
WEST LAWN,2005,0.9,66
CHICAGO LAWN,2005,4.1,67
WEST ENGLEWOOD,2005,7.2,68
ENGLEWOOD,2005,8.6,69
GREATER GRAND CROSSING,2005,6.1,70
ASHBURN,2005,0.8,71
AUBURN GRESHAM,2005,5.4,72
BEVERLY,2005,0.8,73
